Feature,OLS_Coef,Ridge_Coef,Lasso_Coef,OLS_AbsCoef,Ridge_AbsCoef,Lasso_AbsCoef
"info_source_Radio, TV, Web",-327755.9275424965,-261637.59646399168,-382708.3886986536,327755.9275424965,261637.59646399168,382708.3886986536
country_RWANDA,313730.61207721056,-121360.11451048513,213325.37558996901,313730.61207721056,121360.11451048513,213325.37558996901
package_accomodation_No,309039.51465925155,249436.35722803845,-471052.2774588098,309039.51465925155,249436.35722803845,471052.2774588098
country_KENYA,-300140.0740137957,-750534.6184724919,-387742.4409832658,300140.0740137957,750534.6184724919,387742.4409832658
package_transport_tz_No,267783.6282198457,196402.3782674217,-438277.11617657915,267783.6282198457,196402.3782674217,438277.11617657915
purpose_Scientific and Academic,-255643.53095864924,-141930.46461596582,-626798.2861158584,255643.53095864924,141930.46461596582,626798.2861158584
country_BURGARIA,239308.7883851648,-10971.433925336525,0.0,239308.7883851648,10971.433925336525,0.0
country_GERMANY,-218431.2728703576,-349504.6852015174,-294332.4168842226,218431.2728703576,349504.6852015174,294332.4168842226
country_UGANDA,210876.33661836945,-353387.48387585796,117716.51751636529,210876.33661836945,353387.48387585796,117716.51751636529
country_CHINA,-206664.59759295918,-393536.8686514285,-283591.22143117903,206664.59759295918,393536.8686514285,283591.22143117903
main_activity_Bird watching,204090.9077821998,271322.6943727016,675189.417482177,204090.9077821998,271322.6943727016,675189.417482177
"info_source_Friends, relatives",200136.9848307129,89745.14291391887,141469.13614902878,200136.9848307129,89745.14291391887,141469.13614902878
package_sightseeing_No,176264.39006738784,47999.129944439075,-403437.5407619464,176264.39006738784,47999.129944439075,403437.5407619464
country_LATVIA,173981.0444655541,-4977.567577620104,0.0,173981.0444655541,4977.567577620104,0.0
country_SINGAPORE,-150135.2306806448,5033.9467677235225,-149357.56658766724,150135.2306806448,5033.9467677235225,149357.56658766724
country_MALAWI,-135381.3332042669,-140417.67494389287,-204118.77328302045,135381.3332042669,140417.67494389287,204118.77328302045
most_impressing_Excellent Experience,-131413.07081872795,-345210.62374029576,-762403.3207670822,131413.07081872795,345210.62374029576,762403.3207670822
country_TAIWAN,-122642.03373962526,-51236.12468964785,-147600.38569502698,122642.03373962526,51236.12468964785,147600.38569502698
country_EGYPT,114984.4838705145,-36113.49960276924,0.0,114984.4838705145,36113.49960276924,0.0
"info_source_Newspaper, magazines,brochures",111271.01346222078,38561.75293109371,50290.22703513561,111271.01346222078,38561.75293109371,50290.22703513561
tour_arrangement_Independent,99887.75322885113,30158.189370481636,-882068.4162565855,99887.75322885113,30158.189370481636,882068.4162565855
travel_with_Spouse,-98402.64307670761,63594.986072591964,-0.0,98402.64307670761,63594.986072591964,0.0
country_AUSTRIA,75093.0985798249,-85612.68147593616,-0.0,75093.0985798249,85612.68147593616,0.0
country_NORWAY,69500.91620332422,-87860.58463852055,-0.0,69500.91620332422,87860.58463852055,0.0
info_source_others,58782.62026936002,-143083.86063807487,-3.580365101901852e-10,58782.62026936002,143083.86063807487,3.580365101901852e-10
country_FINLAND,-55247.326750523556,-60065.95163464047,-75396.71329377824,55247.326750523556,60065.95163464047,75396.71329377824
travel_with_Friends/Relatives,-15841.753730865195,173197.3378946947,83805.73323866328,15841.753730865195,173197.3378946947,83805.73323866328
country_UNITED ARAB EMIRATES,-129.69629619596526,-17334.109224494925,-39792.19846555469,129.69629619596526,17334.109224494925,39792.19846555469
country_BANGLADESH,0.0,0.0,0.0,0.0,0.0,0.0
country_BOSNIA,0.0,0.0,0.0,0.0,0.0,0.0
country_BOTSWANA,0.0,0.0,0.0,0.0,0.0,0.0
country_BULGARIA,0.0,0.0,0.0,0.0,0.0,0.0
country_GUINEA,0.0,0.0,0.0,0.0,0.0,0.0
country_HAITI,0.0,0.0,0.0,0.0,0.0,0.0
country_JAMAICA,0.0,0.0,0.0,0.0,0.0,0.0
country_LIBERIA,0.0,0.0,0.0,0.0,0.0,0.0
country_MACEDONIA,0.0,0.0,0.0,0.0,0.0,0.0
country_PERU,0.0,0.0,0.0,0.0,0.0,0.0
country_SAUD ARABIA,0.0,0.0,0.0,0.0,0.0,0.0
country_SOMALI,0.0,0.0,0.0,0.0,0.0,0.0
country_VIETNAM,0.0,0.0,0.0,0.0,0.0,0.0
age_group_24-Jan,0.0,0.0,0.0,0.0,0.0,0.0
